Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000003dc01910      5      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\dbghelp.dll
0x000000003dc06150     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc064c0     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\History\Low\History.IE5\index.dat
0x000000003dc09980     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\duser.dll
0x000000003dc09dd0     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ExplorerFrame.dll
0x000000003dc09f20     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\dui70.dll
0x000000003dc15dd0      1      1 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\en-US\urlmon.dll.mui
0x000000003dc15f20     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\mlang.dll
0x000000003dc17c80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003dc183e0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites\Links
0x000000003dc185b0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites\Links
0x000000003dc19070     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\index.dat
0x000000003dc199a0     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Cookies\Low\index.dat
0x000000003dc1ae00      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\84C3YW0Y\down[1]
0x000000003dc1b910     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc1c5e0      8      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msfeeds.dll
0x000000003dc1d830      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dc1df20      2      0 -W---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\XVNT15V3\favcenter[1]
0x000000003dc1ec80     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\sxs.dll
0x000000003dc1ee00     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msls31.dll
0x000000003dc20290      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
